Education;Marital_Status;Income;Kidhome;Recency;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Complain;all_Response;Age;CustomerDayLong;MNT
2;4;58138.0;0;58;3.0;8.0;10.0;4;7.0;0.0;1.0;64.0;3314;1617.0
2;4;46344.0;1;38;2.0;1.0;1.0;2;5.0;0.0;0.0;67.0;2764;27.0
2;5;71613.0;0;26;1.0;8.0;2.0;10;4.0;0.0;0.0;56.0;2963;776.0
2;5;26646.0;1;26;2.0;2.0;0.0;4;6.0;0.0;0.0;37.0;2790;53.0
4;3;58293.0;1;94;5.0;5.0;3.0;6;5.0;0.0;0.0;40.0;2812;422.0
3;5;62513.0;0;16;2.0;6.0;4.0;10;6.0;0.0;0.0;54.0;2944;716.0
2;2;55635.0;0;34;4.0;7.0;3.0;7;6.0;0.0;0.0;50.0;3244;590.0
4;3;33454.0;1;32;2.0;4.0;0.0;4;8.0;0.0;0.0;36.0;3068;169.0
4;5;30351.0;1;19;1.0;3.0;0.0;2;9.0;0.0;1.0;47.0;3039;46.0
4;5;5648.0;1;68;1.0;1.0;0.0;0;12.596452885784712;0.0;1.0;71.0;2759;49.0
2;3;51908.0;1;11;1.0;1.0;0.0;2;7.0;0.0;0.0;38.0;2877;19.0
1;3;7500.0;0;59;1.0;2.0;0.0;3;8.0;0.0;0.0;45.0;3244;61.0
2;2;63033.0;0;82;1.0;3.0;4.0;8;2.0;0.0;0.0;62.0;2877;1078.4123846372045
3;2;59354.0;1;53;3.0;6.0;1.0;5;6.0;0.0;0.0;69.0;2877;310.0
2;3;17323.0;0;38;1.0;1.0;0.0;3;8.0;0.0;0.0;34.0;3278;46.0
4;4;82800.0;0;23;1.0;7.0;6.0;12;3.0;0.0;3.0;75.0;3233;1315.0
2;3;41850.0;1;51;3.0;3.0;0.0;3;8.0;0.0;0.0;41.0;3203;96.0
2;5;37760.0;0;20;2.0;4.0;1.0;6;7.0;0.0;0.0;75.0;3318;317.0
3;3;76995.0;0;91;2.0;11.0;4.0;9;5.0;0.0;1.0;72.0;3109;1782.0
0;4;33812.0;1;86;2.0;2.0;1.0;3;6.0;0.0;0.0;36.0;3254;133.0
2;3;37040.0;0;41;1.0;4.0;2.0;5;8.0;0.0;0.0;39.0;3341;316.0
2;3;2447.0;1;42;8.121712502567885;0.0;11.431355538047729;0;1.0;0.0;0.0;42.0;3190;849.0961175352629
4;3;58607.0;0;63;3.0;2.0;3.0;9;8.0;0.0;1.0;72.0;3204;972.0
4;3;65324.0;0;0;3.0;6.0;2.0;9;4.0;0.0;0.0;67.0;2820;544.0
2;5;40689.0;0;69;7.0;7.0;1.0;5;8.0;0.0;0.0;70.0;3119;444.0
2;4;18589.0;0;89;2.0;2.0;1.0;3;7.0;0.0;0.0;52.0;3194;75.0
2;3;53359.0;1;4;4.0;5.0;1.0;4;7.0;0.0;0.0;45.0;3049;257.0
2;4;51908.0;1;19;0.0;12.420963870735756;0.0;0;1.0;0.0;0.0;35.0;3145;363.4286336371274
2;3;38360.0;1;26;2.0;2.0;1.0;4;3.0;0.0;0.0;32.0;3045;131.0
4;3;84618.0;0;96;1.0;6.0;9.0;10;2.0;0.0;1.0;56.0;2870;1672.0
3;2;10979.0;0;34;2.0;3.0;0.0;3;5.0;0.0;0.0;32.0;2689;30.0
3;5;38620.0;0;56;1.0;2.0;5.0;3;3.0;0.0;0.0;58.0;3065;318.0
2;5;40548.0;0;31;2.0;2.0;1.0;4;5.0;0.0;1.0;51.0;3278;120.0
4;2;46610.0;0;8;6.0;4.0;1.0;6;6.0;0.0;1.0;69.0;3259;302.0
3;3;68657.0;0;4;1.0;3.0;5.0;9;7.0;0.0;0.0;75.0;3145;1196.0
3;4;49389.0;1;55;1.0;2.0;0.0;3;7.0;0.0;0.0;70.0;2955;65.0
4;3;67353.0;0;37;5.0;5.0;6.0;12;2.0;0.0;0.0;51.0;2831;913.0
0;3;23718.0;1;76;3.0;3.0;1.0;2;7.0;0.0;0.0;45.0;2951;81.0
2;6;42429.0;0;99;2.0;1.0;1.0;3;5.0;0.0;0.0;48.0;2789;67.0
4;2;48948.0;0;53;2.0;7.0;10.0;5;6.0;0.0;2.0;78.0;3164;902.0
2;3;80011.0;0;3;2.0;8.0;6.0;5;4.0;0.0;0.0;41.0;3077;1367.9044418921358
3;3;20559.0;1;88;2.0;2.0;0.0;3;8.0;0.0;0.0;36.0;3125;53.0
2;5;21994.0;0;4;1.0;0.0;0.0;3;5.0;0.0;0.0;64.0;3203;22.0
4;4;51908.0;0;80;1.0;1.0;3.0;4;2.0;0.0;0.0;62.0;2887;186.0
3;3;7500.0;1;19;3.0;2.0;0.0;3;5.0;0.0;0.0;46.0;2921;31.0
2;4;79941.0;0;72;1.0;2.0;4.0;9;1.0;0.0;0.0;45.0;2652;940.0349180737976
0;3;7500.0;0;24;3.0;3.0;1.0;3;9.0;0.0;1.0;25.0;3248;122.0
2;5;41728.0;1;92;1.0;2.0;0.0;2;10.0;0.0;0.0;53.0;3052;55.0
2;4;51908.0;2;96;3.0;2.0;1.0;4;6.0;0.0;0.0;70.0;2830;124.0
4;3;72550.0;1;39;8.121712502567885;5.0;2.0;12;8.0;0.0;0.0;67.0;3249;1319.0
2;6;65486.0;0;29;1.0;4.0;2.0;10;2.0;0.0;0.0;64.0;2699;507.0
3;3;79143.0;0;2;1.0;6.0;9.0;13;3.0;0.0;0.0;57.0;3338;1676.9044418921358
2;4;35790.0;1;54;2.0;2.0;0.0;3;7.0;0.0;0.0;44.0;3194;72.0
2;2;82582.0;0;54;1.0;4.0;9.0;7;1.0;0.0;3.0;44.0;2673;1576.5241917449916
2;3;66373.0;1;57;7.0;4.0;2.0;10;3.0;0.0;0.0;43.0;3033;606.0
3;5;82384.0;0;55;1.0;3.0;10.0;13;1.0;0.0;2.0;66.0;3238;1957.0
2;2;70287.0;0;30;1.0;5.0;5.0;10;3.0;0.0;1.0;55.0;3104;1093.0
2;4;27938.0;1;31;1.0;1.0;0.0;4;3.0;0.0;0.0;33.0;2713;29.0
2;4;51908.0;1;57;2.0;2.0;0.0;3;6.0;0.0;0.0;39.0;3028;46.0
4;3;55954.0;0;63;3.0;8.0;2.0;6;7.0;0.0;0.0;53.0;2769;518.0
3;4;75777.0;0;12;1.0;3.0;6.0;11;1.0;0.0;3.0;39.0;3011;1438.0
