Торговельна площа, кв. м.;Количество касс;Тип;Рейтинг в гуглі;Количество чеков;Средний чек;Населення;Середній дохід населення;Спеціалізоване м'ясо;Спеціалізований сир;Спеціалізована поб. Хімія;Супермаркет;Магазин біля дому
9.0;1.0;0.0;3.0;659.0;77.0;108.0;14910.0;1;1;0;1;1
22.0;1.0;0.0;4.1;1518.0;85.0;750.0;9030.0;0;0;0;1;1
13.0;1.0;0.0;3.0;476.0;112.0;0.0;9030.0;0;0;0;0;0
18.0;1.0;0.0;3.0;1310.0;120.0;0.0;13930.0;1;0;0;1;1
25.0;1.0;1.0;4.0;2029.0;95.0;0.0;14560.0;0;0;0;0;0
49.0;1.0;1.0;4.4;3585.0;81.0;0.0;14700.0;1;1;1;0;0
40.0;1.0;1.0;4.2;4621.0;92.0;569.0;12880.0;0;0;1;0;1
32.0;2.0;1.0;4.6;8150.0;133.0;567.0;11550.0;0;0;1;0;0
21.5;1.0;0.0;3.0;1624.0;69.0;398.0;10920.0;0;0;0;0;0
35.49;1.0;1.0;4.5;3790.0;80.0;0.0;12880.0;0;0;0;0;0
27.5;1.0;1.0;4.3;3511.0;77.0;0.0;13020.0;0;0;0;0;0
25.69;2.0;1.0;3.4;7067.0;113.0;272.0;12180.0;1;0;0;1;0
42.54;1.0;1.0;4.0;3379.0;92.0;344.0;10150.0;0;1;1;0;0
50.0;1.0;1.0;3.9;4117.0;96.0;0.0;14420.0;0;0;0;1;0
99.98502526068363;2.0;1.0;4.3;6752.0;96.0;0.0;4026.9919257690144;0;0;0;0;0
78.05;1.0;0.0;3.0;4624.0;75.0;0.0;12180.0;0;0;0;1;1
20.0;1.0;0.0;3.0;3575.75;77.0;739.0;10850.0;1;1;1;0;0
41.0;1.0;1.0;4.0;2529.0;88.0;563.0;10780.0;1;0;0;0;0
40.0;1.0;1.0;4.0;3821.234375;77.0;296.0;10570.0;0;0;0;0;0
24.0;1.0;0.0;3.0;1903.0;87.0;0.0;10010.0;0;0;0;0;1
30.0;1.0;1.0;4.2;4529.0;67.0;266.0;11480.0;0;0;0;1;0
4.0;1.0;1.0;4.5;2344.0;65.0;0.0;14840.0;1;1;1;0;0
25.44;1.0;1.0;4.4;4906.0;95.0;0.0;9380.0;0;1;0;0;0
63.4;2.0;1.0;4.1;6550.0;95.0;0.0;11900.0;0;0;0;0;0
26.4;1.0;1.0;4.5;4171.0;130.0;70.0;4026.9919257690144;1;1;1;0;0
36.88;1.0;1.0;4.2;3338.0;93.0;0.0;11760.0;0;0;0;0;0
17.42;1.0;0.0;3.9;2054.0;70.0;0.0;13090.0;0;0;0;0;1
24.0;1.0;0.0;3.0;2067.0;82.0;39.0;12250.0;0;0;0;0;0
47.77;1.0;1.0;4.0;4443.0;98.0;545.0;9240.0;0;1;0;0;1
99.5;2.0;1.0;4.5;7810.0;140.0;0.0;11550.0;0;0;1;0;1
50.0;1.0;1.0;4.0;3531.0;77.0;296.0;10570.0;0;0;0;0;0
40.4;1.0;1.0;1.8;4826.0;101.0;0.0;13090.0;0;0;0;1;0
34.68;2.607131071356642;0.0;3.0;8717.0;91.0;962.0;10920.0;1;0;1;0;1
30.0;1.0;1.0;4.0;2013.0;88.0;837.0;10290.0;0;0;0;0;0
18.44;1.0;1.0;3.0;3255.0;72.0;169.0;13440.0;1;1;0;0;0
48.5;1.0;1.0;4.0;4153.5625;77.0;296.0;10570.0;0;0;0;0;0
